id,title,short_title,year,country
1,'Shiri','shiri',1999,'South Korea'
2,'Nowhere to Hide','nowhere2hide',1999,'South Korea'
3,'Evil Dead','evildead',1983,'U.S.'
4,'Crouching Tiger, Hidden Dragon','cthd',2000,'China / Hong Kong / Taiwan / U.S.'
5,'Oh Brother, Where Art Thou?','obwat',2000,'U.S.'
6,'Cider House Rules','ciderhouse',1999,'U.S.'
7,'Gen-X Cops','genxcops',1999,'Hong Kong'
8,'Miracles','miracles',1989,'Hong Kong'
9,'The Buddhist Fist','buddhistfist',1979,'Hong Kong'
10,'Mafia.com','mafia',2000,'Hong Kong'
11,'Drunken Master II','dm2',1994,'Hong Kong'
12,'Nosferatu','nosferatu',1922,'Germany'
13,'Iron Monkey','monkey',1993,'Hong Kong'
14,'Dr. Wai and the Scripture with No Words','drwai',1996,'Hong Kong'
15,'Dune','dune',1984,'U.S.'
16,'Almost Famous','almostfamous',2000,'U.S.'
17,'Office Space','officespace',1999,'U.S.'
18,'Once a Thief','onceathief',1991,'Hong Kong'
19,'Kids From Shaolin','st2',1983,'China'
20,'Nine to Five','9to5',1980,'U.S.'
21,'Ghost Dog: The Way of the Samurai','ghostdog',1999,'U.S.'
22,'Enter the Dragon','enterdragon',1973,'Hong Kong'
23,'Killer of Snakes, Fox of Shaolin','killersnakes',1976,'Hong Kong'
24,'The Savage Garden','savagegarden',1997,'U.S.'
25,'Traffic','traffic',2000,'U.S.'
26,'Fist of Legend','fistlegend',1994,'Hong Kong'
27,'Girlfight','girlfight',2000,'U.S.'
28,'The Accidental Spy','accidental',2001,'Hong Kong'
29,'A Touch of Zen','xianu',1971,'Taiwan'
30,'Enemy at the Gates','enemygates',2001,'U.S.'
31,'A Chinese Ghost Story','cgs',1987,'Hong Kong'
32,'Land and Freedom','landnfreedom',1995,'Italy / Spain / U.K. / Germany'
33,'Bread and Roses','breadnroses',2000,'U.K. / France / Germany / Spain / Switzerland'
34,'Shrek','shrek',2001,'U.S.'
35,'Leon: The Professional','leon',1994,'France / U.S.'
36,'The Family Man','pieceofshit',2000,'U.S.'
37,'Apocalypse Now Redux','apocalypse',1979,'U.S.'
38,'Le Grand Nord: la Migration des Rennes','legrandnord',2000,'Canada'
39,'Miss Congeniality','misscongeniality',2000,'U.S.'
40,'Chocolat','chocolat',2000,'U.K. / U.S.'
41,'El Ataque de Los Muertos Sin Ojos (aka, The Return of the Blind Dead)','blinddead2',1973,'Spain'
42,'Escape from New York','escapeny',1981,'U.S.'
43,'Fight Club','fightclub',1999,'U.S.'
44,'Six String Samurai','sixstring',1998,'U.S.'
45,'Dancer in the Dark','dancer',2000,'Denmark'
46,'Youjuu Toshi (aka, Wicked City)','wickedcityanime',1987,'Japan'
47,'Rush Hour','rushhour',1998,'U.S.'
48,'I Spit On Your Grave (aka, Day of the Woman)','ispit',1978,'U.S.'
49,'Say Anything...','sayanything',1989,'U.S.'
50,'The Fifth Element','fifth',1997,'France / U.S.'
51,'The Big Hit','bighit',1998,'U.S.'
52,'Kiss of the Dragon','kotd',2001,'France'
53,'Big Trouble in Little China','btilc',1986,'U.S.'
54,'Bully','bully',2001,'U.S.'
55,'Lumumba','lumumba',2000,'France / Belgium / Germany / Haiti'
56,'Conan the Destroyer','conandestroyer',1984,'U.S.'
57,'Yojimbo','yojimbo',1961,'Japan'
58,'Planet of the Apes','planet',2001,'U.S.'
59,'Blue Collar','bluecollar',1978,'U.S.'
60,'Rush Hour 2','rushhour2',2001,'U.S.'
61,'Sanjuro','sanjuro',1962,'Japan'
62,'Unbreakable','unbreakable',2000,'U.S.'
63,'Muppets in Space','muppetsinspace',1999,'U.S.'
64,'Dungeons & Dragons','dnd',2000,'U.S. / Czech Republic'
65,'Ghostbusters','ghostbusters',1984,'U.S.'
66,'Shichinin no Samurai (aka, Seven Samurai)','shichinin',1954,'Japan'
67,'Iron Monkey','ironmonkey',1993,'Hong Kong'
68,'Angela\'s Ashes','angelasashes',1999,'Ireland / U.S.'
69,'Temptation of a Monk','temptation',1993,'Hong Kong'
70,'Bedhead','bedhead',1991,'U.S.'
71,'El Mariachi','mariachi',1992,'Mexico / U.S.'
72,'Desperado','desperado',1995,'U.S.'
73,'Flowers of Shanghai','flowersofshanghai',1998,'Taiwan'
74,'Tron','tron',1982,'U.S.'
75,'Mad Max','madmax',1979,'Australia'
76,'Mononoke Hime (aka, Princess Mononoke)','mononoke',1997,'Japan'
77,'Jay and Silent Bob Strike Back','jaynsilentbob',2001,'U.S.'
78,'Snatch','snatch',2000,'U.K.'
79,'The Shining','shining',1980,'U.K.'
80,'Maboroshi no Hikari (aka, Maborosi)','maboroshi',1995,'Japan'
81,'Groundhog Day','groundhogday',1993,'U.S.'
82,'Excalibur','excalibur',1981,'U.S.'
83,'Snake in the Eagle\'s Shadow','sies',1978,'Hong Kong'
84,'Zu: Warriors from the Magic Mountain','zu',1983,'Hong Kong'
85,'The Truth About Jane &amp; Sam','truth',1999,'Hong Kong'
86,'Inspector Wears Skirts','inspector',1988,'Hong Kong'
87,'Ashes of Time','ashesoftime',1994,'Hong Kong'
88,'Top Secret!','topsecret',1984,'U.S.'
89,'Twinkle Twinkle Lucky Star','twinkle',1996,'Hong Kong'
90,'Young and Dangerous','younganddangerous',1995,'Hong Kong'
91,'The Last Dragon','lastdragon',1985,'U.S.'
