short_title|title|year|country
shiri|Shiri|1999|South Korea
nowhere2hide|Nowhere to Hide|1999|South Korea
evildead|Evil Dead|1983|U.S.
cthd|Crouching Tiger, Hidden Dragon|2000|China / Hong Kong / Taiwan / U.S.
obwat|Oh Brother, Where Art Thou?|2000|U.S.
ciderhouse|Cider House Rules|1999|U.S.
genxcops|Gen-X Cops|1999|Hong Kong
miracles|Miracles|1989|Hong Kong
buddhistfist|The Buddhist Fist|1979|Hong Kong
mafia|Mafia.com|2000|Hong Kong
dm2|Drunken Master II|1994|Hong Kong
nosferatu|Nosferatu|1922|Germany
drwai|Dr. Wai and the Scripture with No Words|1996|Hong Kong
dune|Dune|1984|U.S.
almostfamous|Almost Famous|2000|U.S.
officespace|Office Space|1999|U.S.
onceathief|Once a Thief|1991|Hong Kong
st2|Kids From Shaolin|1983|China
9to5|Nine to Five|1980|U.S.
ghostdog|Ghost Dog: The Way of the Samurai|1999|U.S.
enterdragon|Enter the Dragon|1973|Hong Kong
killersnakes|Killer of Snakes, Fox of Shaolin|1976|Hong Kong
savagegarden|The Savage Garden|1997|U.S.
traffic|Traffic|2000|U.S.
fistlegend|Fist of Legend|1994|Hong Kong
girlfight|Girlfight|2000|U.S.
accidental|The Accidental Spy|2001|Hong Kong
xianu|A Touch of Zen|1971|Taiwan
enemygates|Enemy at the Gates|2001|U.S.
cgs|A Chinese Ghost Story|1987|Hong Kong
landnfreedom|Land and Freedom|1995|Italy / Spain / U.K. / Germany
breadnroses|Bread and Roses|2000|U.K. / France / Germany / Spain / Switzerland
shrek|Shrek|2001|U.S.
leon|Leon: The Professional|1994|France / U.S.
pieceofshit|The Family Man|2000|U.S.
apocalypse|Apocalypse Now Redux|1979|U.S.
legrandnord|Le Grand Nord: la Migration des Rennes|2000|Canada
misscongeniality|Miss Congeniality|2000|U.S.
chocolat|Chocolat|2000|U.K. / U.S.
blinddead2|El Ataque de Los Muertos Sin Ojos (aka, The Return of the Blind Dead)|1973|Spain
escapeny|Escape from New York|1981|U.S.
fightclub|Fight Club|1999|U.S.
sixstring|Six String Samurai|1998|U.S.
dancer|Dancer in the Dark|2000|Denmark
wickedcityanime|Youjuu Toshi (aka, Wicked City)|1987|Japan
rushhour|Rush Hour|1998|U.S.
ispit|I Spit On Your Grave (aka, Day of the Woman)|1978|U.S.
sayanything|Say Anything...|1989|U.S.
fifth|The Fifth Element|1997|France / U.S.
bighit|The Big Hit|1998|U.S.
kotd|Kiss of the Dragon|2001|France
btilc|Big Trouble in Little China|1986|U.S.
bully|Bully|2001|U.S.
lumumba|Lumumba|2000|France / Belgium / Germany / Haiti
conandestroyer|Conan the Destroyer|1984|U.S.
yojimbo|Yojimbo|1961|Japan
planet|Planet of the Apes|2001|U.S.
bluecollar|Blue Collar|1978|U.S.
rushhour2|Rush Hour 2|2001|U.S.
sanjuro|Sanjuro|1962|Japan
unbreakable|Unbreakable|2000|U.S.
muppetsinspace|Muppets in Space|1999|U.S.
dnd|Dungeons & Dragons|2000|U.S. / Czech Republic
ghostbusters|Ghostbusters|1984|U.S.
shichinin|Shichinin no Samurai (aka, Seven Samurai)|1954|Japan
ironmonkey|Iron Monkey|1993|Hong Kong
angelasashes|Angela's Ashes|1999|Ireland / U.S.
temptation|Temptation of a Monk|1993|Hong Kong
bedhead|Bedhead|1991|U.S.
mariachi|El Mariachi|1992|Mexico / U.S.
desperado|Desperado|1995|U.S.
flowersofshanghai|Flowers of Shanghai|1998|Taiwan
tron|Tron|1982|U.S.
madmax|Mad Max|1979|Australia
mononoke|Mononoke Hime (aka, Princess Mononoke)|1997|Japan
jaynsilentbob|Jay and Silent Bob Strike Back|2001|U.S.
snatch|Snatch|2000|U.K.
shining|The Shining|1980|U.K.
maboroshi|Maboroshi no Hikari (aka, Maborosi)|1995|Japan
groundhogday|Groundhog Day|1993|U.S.
excalibur|Excalibur|1981|U.S.
sies|Snake in the Eagle's Shadow|1978|Hong Kong
zu|Zu: Warriors from the Magic Mountain|1983|Hong Kong
truth|The Truth About Jane &amp; Sam|1999|Hong Kong
inspector|Inspector Wears Skirts|1988|Hong Kong
ashesoftime|Ashes of Time|1994|Hong Kong
topsecret|Top Secret!|1984|U.S.
twinkle|Twinkle Twinkle Lucky Star|1996|Hong Kong
younganddangerous|Young and Dangerous|1995|Hong Kong
lastdragon|The Last Dragon|1985|U.S.
muppetmovie|The Muppet Movie|1979|U.S.
molly|Molly|1999|U.S.
ditto|Donggam (aka, Ditto)|2000|South Korea
juliet|Juliet in Love|2000|Hong Kong
victim|Victim|1999|Hong Kong
rosencrantz|Rosencrantz and Guildenstern Are Dead|1990|U.K. / U.S.
spackedout|Spacked Out|2000|Hong Kong
clerks|Clerks|1994|U.S.
eriktheviking|Erik the Viking|1989|U.K. / Sweden
hesawoman|He's a Woman, She's a Man|1994|Hong Kong
interview|Interview|2000|South Korea
chinastrikeforce|China Strike Force|2000|Hong Kong
kippur|Kippur|2000|Israel / France
rumble|Rumble in the Bronx|1995|Hong Kong / Canada
attackthegasstation|Attack the Gas Station!|1999|South Korea
evolution|Evolution|2001|U.S.
shaolinsoccer|Shaolin Soccer|2001|Hong Kong
theone|The One|2001|U.S.
amelie|Le Fabuleux destin d'Amelie Poulain|2001|France / Germany
wuyen|Wu Yen|2001|Hong Kong
mementomori|Memento Mori|1999|Kyrgyzstan / South Korea
championsforever|Champions Forever|1989|U.S.
runningoutoftime|Running Out of Time|1999|Hong Kong
heroneverdies|A Hero Never Dies|1998|Hong Kong
audition|Audition|1999|Japan
highfidelity|High Fidelity|2000|U.S.
prodigalson|Prodigal Son|1983|Hong Kong
boxingsbest|Boxing's Best: Muhammad Ali|1989|U.S.
indecentproposal|Indecent Proposal|1993|U.S.
godofcookery|The God of Cookery|1996|Hong Kong
billyelliot|Billy Elliot|2000|U.K.
metadefumaca|Metade Fumaca|1999|Hong Kong
wickedcity|The Wicked City|1992|Hong Kong
prettyinpink|Pretty In Pink|1986|U.S.
gojira|Gojira (aka, Godzilla)|1954|Japan
feel100|Feel 100%|1996|Hong Kong
conan|Conan the Barbarian|1982|U.S.
flyingguillotine|The One Armed Boxer Vs. The Flying Guillotine (aka, Master of the Flying Guillotine)|1975|Hong Kong
robocop|Robocop|1987|U.S.
moonovertao|Tao no Tsuki (aka, Moon over Tao - Makaraga)|1997|Japan
moonwarriors|Moon Warriors|1993|Hong Kong
fellowship|The Lord of the Rings: The Fellowship of the Ring|2001|New Zealand
tenthings|10 Things I Hate About You|1999|U.S.
deadman|Dead Man|1995|U.S.
wakingned|Waking Ned Devine|1998|Ireland / U.K.
oceanseleven|Ocean's Eleven|2001|U.S.
evildead2|Evil Dead II|1987|U.S.
armyofdarkness|Army of Darkness|1993|U.S.
ali|Ali|2001|U.S.
ofmiceandmen|Of Mice and Men|1992|U.S.
monstersinc|Monsters, Inc.|2001|U.S.
terminator|The Terminator|1984|U.S.
lepactedesloups|Le Pacte des Loups (aka, Brotherhood of the Wolf)|2001|France
blade|Blade|1998|U.S.
timeandtide|Time and Tide|2000|Hong Kong
titanae|Titan A.E.|2000|U.S.
beingjohn|Being John Malkovich|1999|U.S.
bridgetjones|Bridget Jones's Diary|2001|U.K.
xmen|X-Men|2000|U.S.
thesword|The Sword|1980|Hong Kong
legendofzu|The Legend of Zu|2001|Hong Kong
firestarter|Firestarter|1984|U.S.
bulletsoversummer|Bullets Over Summer|1999|Hong Kong
kingofbeggars|King of Beggars|1992|Hong Kong
karatekid|The Karate Kid|1984|U.S.
beyondthemat|Beyond The Mat|1999|U.S.
forbiddencitycop|Forbidden City Cop|1996|Hong Kong
payback|Payback|1999|U.S.
miyamotomusashi1|Miyamoto Musashi (aka, Samurai 1)|1954|Japan
ghostworld|Ghost World|2001|U.S.
royalwarriors|Royal Warriors|1986|Hong Kong
drunkenmaster3|Drunken Master III|1994|Hong Kong
miyamotomusashi2|Miyamoto Musashi: Ichijoji no Ketto (aka, Samura 2: Duel at Ichijoji Temple)|1955|Japan
beyondhypothermia|Beyond Hypothermia|1996|Hong Kong
memento|Memento|2000|U.S.
13thwarrior|The 13th Warrior|1999|U.S.
spykids|Spy Kids|2001|U.S.
mrvampire|Mr. Vampire|1985|Hong Kong
blackcat|Black Cat|1991|Hong Kong
amoresperros|Amores Perros|2000|Mexico
miyamotomusashi3|Miyamoto Musashi: Kett&#244; Ganry&#251;-jima (aka, Samurai III: Duel at Ganryu Island)|1956|Japan
pygmalion|Pygmalion|1938|U.K.
mummyreturns|The Mummy Returns|2001|U.S.
newdragoninn|New Dragon Inn|1992|Hong Kong
ytumamatambien|Y Tu Mam&#225; Tambi&#233;n|2001|Mexico
gattaca|Gattaca|1997|U.S.
ridingincars|Riding in Cars with Boys|2001|U.S.
cgs2|A Chinese Ghost Story II|1990|Hong Kong
bloodlust|Vampire Hunter D: Bloodlust|2000|Japan
bungeejumping|Bungee Jumping of their Own|2001|South Korea
billandteds|Bill &amp; Ted's Excellent Adventure|1989|U.S.
inthemoodforlove|In the Mood for Love|2000|Hong Kong
kikujirononatsu|Kikujiro no Natsu|1999|Japan
mallrats|Mallrats|1995|U.S.
songcatcher|Songcatcher|1999|U.S.
soongsisters|The Soong Sisters|1997|Hong Kong
discreetcharm|The Discreet Charm of the Bourgeoisie|1972|France
bichunmoo|Bichunmoo|2000|South Korea
scorpionking|The Scorpion King|2002|U.S.
rififi|Rififi|1955|France
nomansland|No Man's Land|2001|Bosnia-Herzegovina
fullmetaljacket|Full Metal Jacket|1987|U.S.
friend|Chingu (aka, Friend)|2001|South Korea
marathonman|Marathon Man|1976|U.S.
hudsonhawk|Hudson Hawk|1991|U.S.
spiderman|Spider-Man|2002|U.S.
pitchblack|Pitch Black|2000|Australia
drno|Dr. No|1962|U.K.
help|Help!!!|2000|Hong Kong
sgtkabukiman|Sgt. Kabukiman N.Y.P.D.|1990|U.S.
gunmen|Gunmen|1988|Hong Kong
donniedarko|Donnie Darko|2001|U.S.
ferrisbueller|Ferris Bueller's Day Off|1986|U.S.
mrdeedsgoestotown|Mr. Deeds Goes to Town|1936|U.S.
episode2|Star Wars: Episode II - Attack of the Clones|2002|U.S.
trainingday|Training Day|2001|U.S.
eroticghosts|Erotic Ghost Story|1990|Hong Kong
needingyou|Needing You|2000|Hong Kong
tokyoraiders|Tokyo Raiders|2000|Hong Kong
manwhowouldbeking|The Man Who Would Be King|1975|U.K.
dracula|Bram Stoker's Dracula|1992|U.S.
cestlavie|C'est La Vie, Mon Cheri|1993|Hong Kong
saltoftheearth|Salt of the Earth|1954|U.S.
happygilmore|Happy Gilmore|1996|U.S.
godofgamblers|God of Gamblers|1989|Hong Kong
brandedtokill|Branded To Kill|1967|Japan
kingofcomedy|King of Comedy|1999|Hong Kong
