id|short_title|location|view_date|text
80000|shiri|DVD at home|2000-12-23|<p>I started hearing about this movie through references in different articles. This was the top-grossing Korean film ever, though I've been told that the record has since been broken (by what I don't know). No surprise, once I saw it, that this was the case. I was at a video store known for its Hong Kong selection, looking through their DVD list when I saw it. I found it on the shelves and double checked that it had English subtitles (because last I had heard, it didn't). The DVD comes out of Hong Kong.</p><p>This film falls into a few different categories, particularly action and drama. The action scenes are well done and logically flow with the film, but there is also a love story that touches you. The acting is well done and the plot twists pull you in. There isn't a lot I can say about the film's plot, because it is really something you have to experience for yourself. You will enjoy seeing how things fall together by the end.</p><p>My only complaint about the film would have to be its demonization of North Korea, particularly the early training scenes. These scenes help foster a nationalist image of North Korea as a bunch of fanatics, which of course only serves to keep the two nations divided and to further the interests of those in power in South Korea (who have kept the nations divided for a reason). On the other hand, I love the lead male terrorist. He has some lines which really put things into perspective... pointing out the disparities between the two Koreas.</p>
80001|nowhere2hide|Nuart Theatre|2000-12-27|<p>I'm a longtime fan of Hong Kong action films, and when I saw that a Korean action film was going to be playing on the big screen, I was intrigued. I recently saw <short=\"shiri\">Shiri</short> as well, an excellent film that I would certainly recommend, so my interest in Korean cinema is  growing (I think this is about the third South Korean film I have ever seen).</p><p>Like most reviews have concentrated on, this film is a pleasure visually. Different camera techniques are employed at various times, but the stuttering motion was the best... the comic book quality. People don't just get hit, they get hit, they are in mid-air, then they hit the ground. Detectives Woo and Kim are also a pleasure to watch, especially Woo with his gangster thug gait and stoop. The fight scenes, and there are many, are a pleasure to watch, despite the senselessness of the brutality at times. And these aren't one-sided fights either... everyone gets beaten. Also, it was a shame that we didn't get to see Kim using his shinai more.</p><p>The music. It makes this film for me. The Bee Gees tune went so well with the image, and had me looking up the mp3 the next day. There is also a Korean Heavy Metal song which Woo sings the lyrics to at one point and which is played at a couple times in the movie. The rest of the score that I remember is mostly classical music, and syncs with the film. My favorite, which got me to chuckle even, was during the final fight scene. It was a classical piece (forgive me, but I'm not well versed in composers and works), but not your typical fight music. It was more of a carnival music, that highlighted the absurdity of the match. Overall, a great score.</p><p>I enjoyed the plot, as simple as it was. There is a gangland murder and the next 72 days are spent tracking the guy down. Many nice shots of South Korea (Seoul?) as a result of the investigations. You see the crowded conditions under which many people live there. The cops are brutal, and one wonders how close to reality that is... not that I expect them to be nice. South Korea makes it into my radar often in relationship to strikes, where cops beat up workers to smash their strikes and demonstrations, so it seems right on target there. Unfortunately, the Koreans I know have not likely been on the receiving end of this brutality, so they aren't much use for corroboration.</p><p>I'd recommend seeing the film; it was a top-grossing film in South Korea for a reason. My only reservation is on the brutality, which could make those more sensitive uncomfortable.</p>
80002|evildead|DVD at home|2000-12-28|<p>Alright, Gore Classic. I had originally seen this movie, together with No. 2 when I was in high school. I wasn't TOTALLY into these kind of films, but had enough friends who were. My sophomore chemistry lab partner, who went on to art school, was a latex monster master. Another friend wore an Evil Dead shirt on a regular basis. Of course, when I saw the videos in high school I wasn't really that blown away. But, my girlfriend had never seen the movie, so we rented it anew.</p><p>On this watch, I took in more of the humor (much not intentional, of course). I was also impressed by what was accomplished at the time (1979-82, when the film was made). It is slow-moving, but that isn't a problem to me. I definitely would categorize this film as a classic, although I have no desire to own it. My girlfriend wasn't all that impressed, but enjoyed.</p><p>The delight: Bruce Campbell's commentary track. I took the time to  watch the movie 3 times, once as normal, once with the director/producer commentary track, and once with Bruce's commentary. Bruce is a natural comedian, and I was laughing and enjoying the film much more with his descriptions. I know there is an <short=\"evildead2\" title=\"Evil Dead 2\">Evil Dead 2</short> Collector's Disk out there, and I will be sure to rent it at some point; to refresh the movie in my head, but mostly if there is another commentary track to enjoy that.</p>
80003|cthd|Universal IMAX, Universal City|2000-12-29|<p>This movie, of course, has been getting rave reviews as one of the best movies of 2000, and it is certainly deserved. I will be rooting for it to receive any award it is up for. I was anticipating this film since I heard about it around mid-2000, or earlier, I cannot remember. I was expecting a masterpiece and was not disappointed. This was actually my second viewing, having watched it back on December 17 (just before my decision to start these reviews).</p><p>This movie is wuxia in its most artistic form. The choreography is excellent, as to be expected from the greatest choreographer on the planet, Yeun Woo Ping. I am thoroughly familiar with his excellent work already. Michelle Yeoh has already shown her proficiency in this arena, and Zhang Zi Yi's training as a dancer certainly made her performance that much stronger. I only know one person who was disappointed with the fighting in this film, and he was expecting to see a kung fu film (which haven't really been made since the early 1980s anyway).</p><p>The acting in this film is excellent (though my Chinese friends all say that the accents on everyone but Zhang Zi Yi, for obvious reasons, are horrendous). Michelle Yeoh's facial expressions are excellent and adeptly portray the tension she is facing in her heart. Zhang Zi Yi is also impressive, doing an excellent job at portraying the inexperience and lack of confidence of her character, in dialogue as well as action scenes. I am looking forward to catching her earlier films, one of which is being released in the U.S. in a few months. Chow Yun Fat is also proving himself an adept actor to a wider American audience, and I could not imagine a different actor playing Li Mu Bai's role any better.</p><p>My favorite part of this movie is not the fighting, even though it is thoroughly enjoyable in and of itself. The plot and the romance are what pull me in the most. The ending is perfect. The interaction between the characters and the way each develops is a perfect example of how movies should be made. I will certainly own this on DVD when it is released.</p><p>Complaints about the film. I can think of none at this point. Not to say that is was flawless, but damn near close. I hope everyone gets to see this film on the big screen at some point, though I know it is only slowly making its way around the country.</p>
80004|obwat|Mann Festival Theatre, Westwood|2000-12-30|<p>I had heard about this film a while back, as an adaptation of Homer's The Odyssey. I was interested, but didn't take the chance to see the free preview. After it opened her in LA, a co-worker saw the film and said the music was excellent and that I would likely enjoy it. I do appreciate \"Old Timey\" music.</p><p>The music, of course, is the most addictive part of the film. I still have to look into the soundtrack, but I will like purchase it in the near future. I particularly enjoyed the Soggy Bottom Boys tune. The way the music is woven into the story is nice, as well. It isn't merely mood music, as with most films, it is a plot element. It is people in the movie singing, and many scenes revolve around a song. If you enjoy folk or country music, I would definitely recommend this film.</p><p>I have to shamefully admit that I have not read The Odyssey. I am, however, familiar with its basic elements, and this was another enjoyable aspect of the film. When you realize that John Goodman is the Cyclops, or pick out one of the other similar treats, it makes it that much more entertaining. I am sure that I will make it a point in the near future to read the epic poem (I did read The Ilyad a year or so ago), and then watch this film again at home.</p><p>The story is not a deep, philosophical text revealing human secrets, but I would recommend it to anyone up for a light movie. It is sprinkled with humor and running jokes, and the storyline keeps you interested. I have no complaints about the film. I read at least one review which was disappointed with the way people were portrayed (ie, as ignorant or backward rednecks), but being a hick myself, I found the characters just fine and was, in fact, happy to see that everyone in the film wasn't beautiful but actual human beings with all their flaws.</p>
80005|ciderhouse|DVD at home|2000-12-31|<p>When this movie came out, I kept confusing it with <short=\"snowfallingoncedars\" title=\"Snow Falling on Cedars\">Snow Falling on Cedars</short>, and never bothered to see either film. I've now caught this one, I'll have to check out \"Snow\" at some other point.</p><p>I enjoyed the film, though not as much as my girlfriend did. It was a pleasure to see the way Tobey Maquire's character went into the world and learned about reality. I wasn't as personally moved by the \"father-son\" relationship as the writer seemed to intend, and will never think of the movie on that level. I was more moved by the conclusion that the main character comes to, particularly about taking action. That is a lesson that we can all learn, and on that level, I would recommend the movie.</p><p>The other element of the movie which I loved was the abortion issue. I do not think that abortion is a good thing, but I also do not think that social conditions merit restricting a woman's right to have control over her own body. The attitude which the Doctor (Michael Caine) has is close to where I stand, and what Maquire's character comes to understand. Women will have to take other actions if the procedure is not available, and the inevitable result is serious harm to the individuals involved. I thought the movie handled the issue well.</p>
80006|genxcops|DVD at home|2001-01-01|<p>I had heard about this film a long time ago, as a preview on other rentals and because Jackie Chan is the Executive Producer. The title, though, scared me off... I hate all the \"Gen-X\" shit that circulated a while back, and am glad it has disappeared. This movie, of course, pulls in the idea of a new generation, but their idea is different the crap advertisers were selling us.</p><p>The plot is interesting and the action realistic. The three main characters interact well, and you are left wondering what they are doing at times... what is planned and what is pulled off the cuff. The one aspect of the film that made me uncomfortable was the whole conflict between the older cop (Eric Tsang), who brings the characters together, and the teacher's pet cop who is in charge of the overall case. The conflict was necessary for the plot, but it didn't fit right. Maybe it could have been better written, but I cannot be sure.</p><p>My main problem was that the DVD I rented was scratched to hell and back. The main action sequences, including the death of a pivotal character, were all skittered through by my player because it couldn't read the data. I reported the problem to the store, of course, and may get credit for the rental, but I still want to go back an watch those scenes someday. This doesn't reflect on the movie, but acts as a warning to all those out there renting DVDs.</p><p>The Jackie Chan cameo was unexpected, since I had not heard of it before. It was most amusing, with some apt lines that will make any Jackie fan smile.</p><p>One last note... the women. Man, they were fine. Grace Yip was not in enough of the movie. This was her first film, and I'll be on the lookout for more of her. The old girlfriend character (Jaymee Ong) was also a beaut I'd like to see more of.</p>
80007|miracles|DVD at home|2001-01-02|<p>I recently assembled a list of films with Jackie Chan in them that I have not seen. Jackie's been involved in something like 80 films, though some of those are just as choreographer, producer, or stunt double. All tolled, I've seen about 40 of them. Of the ones I hadn't seen, there were only about 3 that I still wanted to see. We can chop that down to 2 now. (For the record, I still haven't seen Twinkle Twinkle or the racing movie.)</p><p>This is a Jackie Chan film, so of course it is going to be enjoyable. I'm too much of a fan to be put off by even the insane plots of his 70s films. The plot of this film is decent, though the whole situation he gets involved in with Madam Rose quickly passes to the absurd and no longer believable... even with suspended disbelief. Some of the scenes don't seem to fit very well, either. One of his henchmen is trying to take control, and the scenes where he is trying to manipulate a rival boss don't come across well, and sometimes just don't seem to be necessary for the film.</p><p>Watch this film for the action and stunts. This may sound weird to those of you who've heard about the film, because most point to it as Jackie's dramatic turn, but that part of the film is not really that rewarding. The rickshaw scene and rope factory fight, however, are must-sees. There is excellent stuntwork and some incredibly creative ideas that I'd never seen before. And these scenes are believable.</p>
80008|buddhistfist|DVD at home|2001-01-05|<p>I go on these uncontrollable buying sprees every so often, and it's the main reason I cannot save money. I recently ordered 4 DVDs online, and <strong>The Buddhist Fist</strong> was one of them (you'll get the other reviews as I get the time to watch them). All I knew about this film was that it was directed and choreographed by Yuen Woo-Ping, and was in fact one of his early movies (after <short=\"sies\" title=\"Snake in the Eagle's Shadow\">Snake in Eagle's Shadow</a> and <strong>Drunken Master</strong>).</p><p>The DVD is of fairly good quality, given the typical problems of transferring older Hong Kong films. For the most part, the picture is clear, with some scratches and some scenes where there is too much or too little light. I was not disturbed by these few flaws. The audio track was decent, too. There are no subtitles on this one, just three audio tracks (Cantonese, Mandarin, and English), but anyone who expects subtitles on a Hong Kong film before the early 1980s is likely to be waiting a while. The disc started playing upon insert, but afterwards I traversed the other materials. The info on Yuen Woo-Ping was nice, and quite informative. I was happy to finally find out who the old man was in a lot of these films (in particular, the drunken master in <strong>Drunken Master</strong>)... none other than Yuen Woo-Ping's father. There were also several trailers on the disc (though they are not the Hong Kong trailers, but ones thrown together by the  DVD producer, Tai Seng), some of movies I haven't seen yet.</p><p>The movie is a lot of fun, and the \"action\" is non-stop. I put action in quotations, because many of the \"fight\" scenes aren't combat but humorous exchanges, such as the old monk playing chess and trying to prevent his companion from cheating. And, there isn't much wire work. As far as I can tell, only a small portion of the final fight has any wires (or perhaps hidden support) and it isn't flying action but one fighter standing upon the other. For me, as one who practices kung fu, I enjoy these old school films, because you really get to see some different styles and forms.</p><p>The plot of the movie is simple. A kid grows up learning kung fu with his friend, who is a monk. When he comes of age, he travels to the city to earn some money. When he returns after losing his job, his godfather (who raised him) is missing. His monk friend, however, is part of the group which is responsible. The main character has to find all of this out while various people are trying to prevent him from finding out about his godfather. Watch out for the hunchback assassin... that is one of the funniest scenes... true genius in its conception, especially if you've seen any Hong Kong horror movies.</p><p>I would definitely recommend this movie to anyone who enjoys 70s kung fu flicks. It doesn't take itself too seriously, but the fighting is still a treat. I do not regret buying the DVD, and will certainly watch it every now and then.</p>
80009|mafia|DVD at home|2001-01-08|<p>The unfortunate circumstance of having to wait 10 minutes to get into a restaurant which is three stores down from my favorite video store and knowing I could drop the DVD off the next morning without it being out of my way induced me to rent and watch a movie on a Monday night. I don't regret it, though I may be a little tired tonight.</p><p>The story is about three friends who have grown up in the village and pretty much just hang out as Triad wannabe's. They stage an encounter that puts them in good with a Triad boss from downtown HK, and use it to advance their \"careers.. They don't have the best of luck, to say the least.</p><p>The movie is a lot of fun. There were some scenes which had me laughing quite hard. The plot is not a serious one, and so the situations get into the absurd, but they aren't so absurd that you lose interest. Some things are just bizarre, and I liked it. Perhaps there is a bit more that a person from Hong Kong would understand, because I found Grace Yip's \"job\" quite funny, but it didn't make any sense to me. But then, like I said, I don't think it is supposed to make sense.</p><p>My major problem with the film is the ending, which is a wrap from the opening scene. It is almost like you are supposed to take the film seriously, because the final scene really seems to be the only way out for the three companions... but it just doesn't sit well. The scene before it leaves you a bit disappointed, and then the movie abruptly ends. My immediate thought was: \"Did they run out of money. Did they run out of time. Why did the film end here?\"</p><p>Overall a decent film which I would recommend to HK aficionados who want an action/comedy with the emphasis on comedy.</p>
